UW,W,SAT,Rank,Admit
3.9,4.61,1480,0.92,0
4,4.35,1410,0.9,0
3.85,4.43,1350,0.9,0
3.84,4.27,1530,0.97,0
3.87,4.1,1340,0.84,0
3.9,4.3,1300,0.96,0
4,4.2,1400,0.98,0
3.95,4.95,1310,0.99,0
4,4.4,1450,0.9,0
3.93,4.54,1440,0.9,0
3.75,4.05,1320,0.9,0
3.96,4.5,1490,0.98,0
3.94,4.4,1470,0.92,0
3.92,3.92,1440,0.9,0
4,5,1470,0.98,0
4,4,1190,0.99,0
4,4,1520,0.92,0
3.89,4.3,1510,0.98,0
3.71,4.03,1590,0.92,0
4,4.62,1470,0.99,0
3.86,4.12,1420,0.92,0
3.82,4.82,1490,0.92,0
4,4.7,1430,1,0
3.85,4.96,1350,0.99,0
3.92,4.77,1520,0.92,0
3.84,4.79,1520,0.99,0
3.8,4.14,1430,0.92,0
4,4,1420,0.95,0
3.91,4.4,1380,0.9,0
4,4.2,1180,0.92,0
3.75,4.33,1270,0.9,0
4,4.4,1600,0.9,0
4,4.43,1490,0.99,0
3.9,4.36,1500,0.9,0
4,4.56,1440,1,0
3.83,4.39,1230,0.9,0
3.7,4,1600,0.75,0
3.96,4.63,1600,0.9,0
3.5,3.8,1210,0.92,0
4,4.48,1580,1,0
4,5,1470,1,0
3.8,4.1,1430,0.94,0
3.8,3.8,1550,0.92,0
3,3,1450,0.92,0
